ritual_number,ritual_name,feature_label,coder1,coder2,disagreement_type,text_excerpt
Ritual506,Post-Funeral Ceremonies,Synchronous Generic Movement,0,1,Coder2 Only,"Ceremonies Following the Funeral

Nowadays mourning is quite strict, and consists of wearing black: one year for close relatives (except for children who die in infancy), and six months for more dista"
Ritual509,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual51,Funeral and Burial,Synchronous Generic Movement,1,0,Coder1 Only,"Funeral and Burial

A person whose death occurs on a Thursday or Friday is considered fortunate, for it is usual in such cases to hold the funeral and burial on Sunday morning after the High Mass, for"
Ritual515,Om Mani Rite,Synchronous Generic Movement,1,0,Coder1 Only,"Om Mani Days and Bumkhang

It has been noted that in many villages an additional temple besides the community temple, had been built and dedicated by zealous villagers to a Buddhist deity. Every year,"
Ritual516,Om Mani Rite (Second),Synchronous Generic Movement,1,0,Coder1 Only,"Another quite different Om Mani rite is enacted six times a year by older people, mostly women, members of an Om Mani society, which has a small fund for securing tea and rolls for the devotees. It co"
Ritual517,The Age-Blessing,Synchronous Generic Movement,1,0,Coder1 Only,"The Age-Blessing

Report

Old people, men and women, invite the lama to bless and instruct them. This is a great family festival. It is prepared a long time in advance.

On a certain day acquaintances"
Ritual518,Rites Concerning the Guardian Spirits of the Wealth of the Family,Synchronous Generic Movement,0,1,Coder2 Only,"Rites Concerning the Guardian Spirits of the Wealth of the Family

According to the Monguors, persons who commit injustices are pursued by the guardian spirit of the wealth of the victim of the injust"
Ritual519,Rite of the White Tiger,Synchronous Generic Movement,0,1,Coder2 Only,"Rite of the White Tiger

The most important rite against hail is the one called the Rite of the White Tiger, performed by the shaman. Once in a while a Taoist priest and even a Red lama try to enact i"
Ritual534,The Animal Consecration,Synchronous Generic Movement,0,1,Coder2 Only,"The Animal-Consecration

Report

When the children die, the cattle are stricken, the harvest is battered, or other great misfortunes befall a family, a god is angry. One must appease him. Sometimes th"
Ritual546,Sacrifice,Synchronous Generic Movement,1,0,Coder1 Only,"If the sacrifice is to be a “festival,” the lineage priest brings out the okposi sticks representing the dead and places his ɔfɔ staff upon them; beside these objects he sets the vessel representing h"
Ritual550,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual551,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual554,King's Annual Emergence,Synchronous Generic Movement,0,1,Coder2 Only,The climax of the sequence occurs on the following day with the king's annual emergence (ɔfala) from seclusion. He demonstrates that he has survived another year as a living atonement for the sins and
Ritual567,"Punèn Puénégètat, The Initiation of New Members of the Uma",Synchronous Generic Movement,0,1,Coder2 Only,"Punèn Puénégètat, The Initiation of New Members of the Uma

A great event was the initiation of candidates after the building of a new uma. Unless one had gone through this rite, one did not share in "
Ritual575,The Dinner of the Bees,Synchronous Generic Movement,1,0,Coder1 Only,"The Dinner of the Bees

Parallel to the u hanli col ceremony, in both meaning and form, is a ceremony known as u hanli cab (“dinner of the bees”). As the former ceremony is supposed to be performed at"
Ritual578,The Rain Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"The Rain Ceremony

Ritual finds its most elaborate expression in the ceremony known as cħa-chaac (“bring-rain”). The reasons why this is so have already been indicated (p. 123). The cħa-chaac is not t"
Ritual582,Prayers for the Dead,Synchronous Generic Movement,0,1,Coder2 Only,"Prayers for the Dead

The description given earlier in this chapter of the general social functions of the novena has included also the rezos commemorative of the dead, because in respect to these cha"
Ritual585,"Dza Akab, Novenarios for Patron Saint",Synchronous Generic Movement,0,1,Coder2 Only,"Dza Akab and Hadz Pach

In most of the villages of the Chan Kom region, as for example in X-Kopteil and X-Kalakdzonot, two related ceremonies are practiced which assert the sacred character of the ann"
Ritual590,Pledge of Compadre Relationship,Synchronous Generic Movement,1,0,Coder1 Only,"Baptism

Baptism is a matter of extreme importance; unbaptized children, except the very young, do not exist in Chan Kom. It is a great sorrow to the parents if their child dies unbaptized. A baptized"
Ritual591,Formal Baptism Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Baptism

Baptism is a matter of extreme importance; unbaptized children, except the very young, do not exist in Chan Kom. It is a great sorrow to the parents if their child dies unbaptized. A baptized"
Ritual596,"Marriage, Return to the Bridal Party",Synchronous Generic Movement,1,0,Coder1 Only,"Marriage

The ritual of the marriage ceremony is an expression of the fundamental aspect of the marriage relation: a contractual undertaking between two groups of kin. Behind the bride and the bridegr"
Ritual597,Catholic Wedding Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Marriage

The ritual of the marriage ceremony is an expression of the fundamental aspect of the marriage relation: a contractual undertaking between two groups of kin. Behind the bride and the bridegr"
Ritual6,Raising Sun Pole,Synchronous Generic Movement,1,0,Coder1 Only,"Raising the Sun Pole.

While the hide is being cut, all the woman who made vows to take some of the tongues come forward to the parfleche placed near the medicinemen and women. Each woman takes one of"
Ritual609,Prayer Meeting,Synchronous Generic Movement,0,1,Coder2 Only,"Each week members of Seminole Baptist churches gather for a Mekusvpkv Nere (“Prayer Night”), or as it is glossed in English, Prayer Meeting. Some of the congregations have Prayer Meetings on Friday ev"
Ritual618,Processions,Synchronous Generic Movement,0,1,Coder2 Only,"Processions

The word “processions” is not used here in the sense of pilgrimages to a welî, as already described above, but only □wâf performed in 8or around a holy place and only on special occasions"
Ritual644,The Common Meal,Synchronous Generic Movement,1,0,Coder1 Only,"On the last day of the old year all the members of the family, the father and mother, their children, the sons-in-law, the daughters-in-law, and the grandchildren assemble in the house of the family. "
Ritual645,The Ceremonial Figure of the Old Year,Synchronous Generic Movement,1,0,Coder1 Only,"The Ceremonial Figure of the Old Year

In the afternoon the bong thíng and the mŭn mould some rice into the shape of a figure representing the old year, place the figure on a large, round basket, and "
Ritual646,The Second Day of the New Year,Synchronous Generic Movement,1,0,Coder1 Only,"The Second Day of the New Year

Very early before dawn all the members of the family take a bath and put on new clothes. Before sunrise they assemble in front of the house altar, and while the head of"
Ritual647,The Initial Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"The Initial Ceremony

The initial ceremony takes place in the palace grounds at Gangtok. Headed by the priest about twenty men set out from Tingbung and walk to Gangtok. In the palace grounds the Maha"
Ritual648,The Sacrifice of the Yak at the hla thu Shrine,Synchronous Generic Movement,1,0,Coder1 Only,"The Sacrifice of the Yak at the hla thu Shrine

Very early next morning the people from Tingbung gather at hla thu bringing cí and rice, and soon the priest arrives accompanied by the men who have joi"
Ritual650,The Ceremony of Going and Fetching,Synchronous Generic Movement,0,1,Coder2 Only,"In the afternoon of the second day follows the ceremony of ‘going and fetching’ (wra) which is a collective term for what happens to and around the groom. The groom arrives at a certain place, where t"
Ritual66,Healing Ritual,Synchronous Generic Movement,0,1,Coder2 Only,"In healing services it always takes a long time to build up the necessary spiritual or suggestive atmosphere. Singing, long preaching and praying, and at some centres speaking in tongues precedes it. "
Ritual69a,Apo festival,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual69b,Apo festival,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

The only state religious affairs which are public are two annual festivals, the Apo[unavailable] Festival, which usually occurs in March, and the Yam Festival which falls sometime in Octobe"
Ritual70a,Bono Festival; the Yam Festival,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual70b,Bono Festival; the Yam Festival,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

The only state religious affairs which are public are two annual festivals, the Apo[unavailable] Festival, which usually occurs in March, and the Yam Festival which falls sometime in Octobe"
Ritual71a,Monocot Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual71b,Monocot Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Festivals

The only state religious affairs which are public are two annual festivals, the Apo[unavailable] Festival, which usually occurs in March, and the Yam Festival which falls sometime in Octobe"
Ritual73,Rainmaking Ritual,Synchronous Generic Movement,1,0,Coder1 Only,"Of the public weather-controlling rites performed by the white magician ( paqo ), the rain ceremony held in times of drought in Chucuito is perhaps the most elaborate. The community engages a paqo thr"
Ritual74,Coqela Ritual,Synchronous Generic Movement,1,0,Coder1 Only,"The [unknown]coqela ceremony is performed regularly by the Peruvian Aymara in Ichu, Chucuito, and Juli and is also held, according to Bandelier, in western Bolivia (Bandelier, 1910, p. 103). Although "
Ritual75,Alasita,Synchronous Generic Movement,1,0,Coder1 Only,"A festival, called alasita , for the good-luck fertility spirit ( eq'eq'o ; see Supernatural Beings, p. 560) is performed everywhere in Aymara territory (Paredes, 1936, pp. 170-73). Often it takes pla"
Ritual76,Wilanca (House Dedication Rite),Synchronous Generic Movement,1,0,Coder1 Only,"House Dedication Rite , wilan[unknown]ca , “ Blood Sacrifice ”

That magical rites associated with the construction of houses were important in Inca times is made clear by the writings of Father Arria"
Ritual77,Mesa Loqaña (Generaly Propitiatory Rite),Synchronous Generic Movement,1,0,Coder1 Only,"Generaly Propitiatory Rite, Mesa Loqaña, ""To Offer a Mesa""

Although the antiquity of this ceremony in its present form is uncertain, it seems quite clear that the great majority of the offerings as w"
Ritual78,Uiwataki Mesa Loqaña (Animal Increase Rite),Synchronous Generic Movement,1,0,Coder1 Only,"Animal Increase Rite, uiwataki mesa loqaña, “ To Offer a mesa for the Animals ”

Animal increase rites, in one form or another, are practiced widely by the contemporary Aymara of both Peru and Bolivia"
Ritual8,sun god ceremony,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual82,Compadre Ritual,Synchronous Generic Movement,1,0,Coder1 Only,"Compadre rite , kompadre

Briefly, the term compadre (or comadre, depending on the sex of the person in question) designates an individual to whom one is bound by ties of “ceremonial kinship.” As empl"
Ritual94,Ceremonial Drinking,Synchronous Generic Movement,1,0,Coder1 Only,"Ceremonial Drinking

The full expression of a ceremonial drinking cycle has a number of performance correlates which permit its identification. While it is generally true that ceremonial drinking, in "
Ritual99,The Hierarchy of the Elders,Synchronous Generic Movement,1,0,Coder1 Only,The hierarchy of the elders . The ceremony opened with a ritual representation of the hierarchy of rank among the women present. It was the first of one of the series of such acts that took place over
Ritual135,Dama Ritual Day 1,Synchronous Marching,1,0,Coder1 Only,"Celebration of the Dama

First day. — The first day of the Dama is called warsigiri (5). It coincides with that of the Sanga market.

At sunrise the cry of the masks makes itself heard at Songoulou. I"
Ritual157,Curing Ritual,Synchronous Marching,0,1,Coder2 Only,"Curing

Curing practice lacks the mise en scène of the winter performance held in the figure-decked shaman’s lodge, for it always takes place in the patient’s home. Nevertheless, it must be quite an i"
Ritual2,Ceremony of the Tongues,Synchronous Marching,1,0,Coder1 Only,"Ceremony of the Tongues.

While it is obvious from the preceding, that the medicine woman takes her vow at no fixed period in the year, the order of procedure is such that as a rule, she must have tak"
Ritual236,The Corn Planting Ceremony,Synchronous Marching,0,1,Coder2 Only,"The Corn Planting Ceremony

The Corn Planting Ceremony of the Skull bundle was held when the willow leaves were out, but the preliminary sign was taken from the stars. The priests noted the position o"
Ritual292,NA,Synchronous Marching,1,0,Coder1 Only,-
Ritual294,False Face Ceremony,Synchronous Marching,1,0,Coder1 Only,"False Face Ceremony

The False Face Ceremony, which occurs next on the calendar, is called ??ethi[unknown] hsot hena[unknown] d??ui ??athenada[unknown] wenye?? (“grandfathers hunchback they travel,” o"
Ritual296,Funeral,Synchronous Marching,1,0,Coder1 Only,"Death of a Common Member

Introduction. The Ohgi[unknown] we is the only ceremony dedicated to all the dead of the nation collectively, and the rest of the observances discussed here concern either an"
Ritual303,Annual Ceremonies of the Dances of the Masks,Synchronous Marching,1,0,Coder1 Only,"We shall now see how these annual ceremonies of the dances of the masks are performed. Once the day for the beginning of the ceremony has been determined by divination, the whole town is cleaned, and "
Ritual312,Pre-Juwo Ritual,Synchronous Marching,0,1,Coder2 Only,"ECONOMIC CEREMONIES By far the most spectacular and elaborate Kapauku ceremony is juwo, “the pig feast.” This is a rather protracted affair comprising several major events and innumerable night dancin"
Ritual313,"Juwo, The Pig Feast",Synchronous Marching,0,1,Coder2 Only,"After this proper initiation the people begin to build the dance house. This has a rectangular floor plan, its dimensions being approximatly 7 by 6 meters. It consists of an elevated spring or jumping"
Ritual323b,Nganjong Mandi,Synchronous Marching,0,1,Coder2 Only,The ceremony of first taking a child to bathe is called by the Dyaks nganjong mandi which means to take to bathe. The mother calls a maiden and asks her to catch a fowl. The husband or anybody waves t
Ritual360,Circumcision,Synchronous Marching,1,0,Coder1 Only,"Circumcision

Though female initiation takes place among the Mandinka and Jola, there is no such ceremony for Wolof women.

Boys are normally circumcised when aged between eight and twelve, though for"
Ritual361,Circumcision-related,Synchronous Marching,1,0,Coder1 Only,"The first major ceremony in which the whole village is involved occurs with the appearance of a monster ( mam) who comes to “eat” the boys. The monster is heard roaring in the night, and as it approac"
Ritual362,Circumcision-related,Synchronous Marching,1,0,Coder1 Only,The next major ceremony is the Samba s[unknown]ho which can be witnessed by women. The selbe begin by performing a whipping dance. They parade rhythmically round the s[unknown]chu mam with a long thin
Ritual363,Circumcision-related,Synchronous Marching,1,0,Coder1 Only,"In the final ceremony, the shed is burnt early in the morning, and the boys are taken off to bathe. They put on new trousers and have their heads shaved into distinctive patterns. Henceforth they are "
Ritual370,Mitewie Ceremony,Synchronous Marching,1,0,Coder1 Only,"The Mitewie Ceremony

The Mitewie is a mysterious ceremony, rather of the nature of our Free Masonry, but with this remarkable difference that both sexes are equally admitted as members. Those who put"
Ritual40,Church Fiesta of Guadalupe,Synchronous Marching,1,0,Coder1 Only,"Guadalupe Fiesta

The following paragraphs describe the fiesta of Guadalupe as it was performed in Samachique in 1930. In the main, it is a typical fiesta, not only for Samachique but for the sierra a"
Ritual437,Sveti Roko,Synchronous Marching,1,0,Coder1 Only,"The Role of the Church

The historical prominence of Christianity and the Church is very much in evidence. The earliest church remains go back to a Roman occupation of the island. However, the more st"
Ritual438,Return of Statue Procession,Synchronous Marching,1,0,Coder1 Only,"One week after the Patron Saint’s day when the statue was brought down the hill to spend a week in the great church, there is a processional to return the statue to its church. This begins with he lat"
Ritual450,Miércoles Santo,Synchronous Marching,0,1,Coder2 Only,"3/30/83: Miércoles Santo (Holy Wednesday), Viacrucis procession. On Wednesday evening the procession started at the Catholic church. About 20 women and a few young men participated. One man carried a "
Ritual451,Viernes Santo (Event 1),Synchronous Marching,0,1,Coder2 Only,"4/1/83: Viernes Santo (Good Friday). Three events occurred on this day.

1) Viacrucis morning procession. A large framed picture of Christ holding the cross over his shoulder was carried through the v"
Ritual452,Viernes Santo (Event 2),Synchronous Marching,0,1,Coder2 Only,"4/1/83: Viernes Santo (Good Friday). Three events occurred on this day.

2) Santo Entierro (Holy Funeral). This procession began at the church around 4:30 p.m. The focus of the procession was a glass "
Ritual456,Velada for the Virgin del Carmen,Synchronous Marching,0,1,Coder2 Only,"7/15/83: Velada for the Virgin del Carmen (Our Lady of Mt. Carmel). This is the most important event during the annual festival to honor the patron saint of Santa Fe.

The calvario was the site of the"
Ritual457,Morning Procession for the Virgin del Carmen,Synchronous Marching,0,1,Coder2 Only,"7/16/83: Morning procession for the Virgin del Carmen. Before sunrise, the participants at the velada were served cups of strong, black coffee and coconut bread. The drums played as a few women danced"
Ritual458,Afternoon Procession for the Virgin del Carmen,Synchronous Marching,0,1,Coder2 Only,"7/16/83: Afternoon procession for the Virgin del Carmen. At 5:00 p.m. four women carried the Virgin out of the church and into the street where another procession formed. The band went first, followed"
Ritual459,Velada for San Miguel,Synchronous Marching,0,1,Coder2 Only,9/27/83: Velada for San Miguel (St. Michael the Archangel). During the day one of my neighbors placed a small metal tray and a picture of San Miguel slaying a dragon on a chair set against the outside
Ritual48,Dutuburi Dance,Synchronous Marching,1,0,Coder1 Only,"The men do not dance, but line up on the left side of the chanter as he faces the cross (i.e., the north side of the patio ) and march back and forth with him. They keep themselves wrapped in their bl"
Ritual49,The Wake,Synchronous Marching,1,0,Coder1 Only,"During the night the body is ‘watched’ by male relatives and friends and the closest adult female relatives. At least one of these persons, almost always male, maintains a vigil by the side of the bod"
Ritual50,Lifting and Procession to Chapel,Synchronous Marching,1,0,Coder1 Only,"The 'Lifting' and Procession to Chapel

On the afternoon following the wake, usually at about 4.0 o'clock, relatives and friends in large numbers gather at the house for the ceremony of the ‘lifting’ "
Ritual510,The Procession of the Tenth Day (Achoura),Synchronous Marching,0,1,Coder2 Only,"The Procession of the Tenth Day (Achoura)

In addition to the children's processions noted by Wilson, other processions of adults used to move through the streets from the seventh night on. But the mo"
Ritual614,The Little Festival,Synchronous Marching,1,0,Coder1 Only,"Religious Festivals

Only two religious festivals are celebrated at Baytīn. The first is called al-□īd al-□aghīr (the Little Festival) or □īd al Fi□r (the festival celebrating the breaking of the fast"
Ritual615,Little and Great Festival,Synchronous Marching,1,0,Coder1 Only,"Religious Festivals

Only two religious festivals are celebrated at Baytīn. The first is called al-□īd al-□aghīr (the Little Festival) or □īd al Fi□r (the festival celebrating the breaking of the fast"
Ritual616,Procession to Ceremony,Synchronous Marching,1,0,Coder1 Only,"The men then form lines across the road leading to the village cemetery and take up a chant as they proceed to the burial ground. Upon their arrival at the cemetery, they read the Fāti□a (the first ch"
Ritual617,Procession,Synchronous Marching,1,0,Coder1 Only,"The procession begins by bringing the Nebî Musâ banner from the place where it is kept all the year through, called ed-Dâr el-Kbîreh, belonging to the □usênî family, and situated west of the □aram are"
Ritual618,Processions,Synchronous Marching,1,0,Coder1 Only,"Processions

The word “processions” is not used here in the sense of pilgrimages to a welî, as already described above, but only □wâf performed in 8or around a holy place and only on special occasions"
Ritual639,Biannual Ceremony of Female pŭ tsho,Synchronous Marching,1,0,Coder1 Only,"Biannual Ceremony of the Tamgsangmu pŭ tsho

On a fixed date a male member of the pŭ tsho selects a red cock for the ceremony to be celebrated at the beginning of the next season. He cleans the beak a"
Ritual641,First Wedding Ceremony: pǎ nol,Synchronous Marching,1,0,Coder1 Only,"First Wedding Ceremony: pǎ nol

The young man's parents now make the necessary preparations for the pă nol, collecting for the ceremony two loins of a pig or an ox, a big load of cí, 25 rupees, and a "
Ritual642,Second Wedding Ceremony: a shek,Synchronous Marching,1,0,Coder1 Only,"Second Wedding Ceremony: a shek

When the men return from the above visit, the family make arrangements for the considerable gifts called nyóm să a far, the price of the bride, to be presented to the "
Ritual92,Fiesta for the Patron Saint,Synchronous Marching,1,0,Coder1 Only,"Fiesta for the Patron Saint

One of the major events in the religious life of the Indians is the annual fiesta in honor of the patron saint and the other saints kept in the church. The capitán princip"
Ritual1,Vow,Synchronous Praying,1,0,Coder1 Only,"The Vow.

The most important functionary in the Blackfoot sun dance is a woman, known among the whites as the medicine woman, and upon a clear comprehension of her functions and antecedents depends ou"
Ritual129,Ritual during pai-pai commemoration of deity,Synchronous Praying,1,0,Coder1 Only,"In midmorning, the lo cu and a few assistants enter the temple of Tho Te Kong to formally invite him and his spouse to come out and enjoy their festival. His consent to being moved about is sought thr"
Ritual150,Secondary Burial Ritual,Synchronous Praying,1,0,Coder1 Only,"Seventeen days after the death of Hokotómarimá the second part of the burial ceremony began. The male relatives cut down more trees, and, under the imbauba tree in whose crown the dead man hung, they "
Ritual159,5 Daily Prayers,Synchronous Praying,1,0,Coder1 Only,"As we know, the five pillars of Islam are: The confession of faith, the five daily eulogies of Allah, generally known as the five daily “prayers”, the duty to give aims, the fast in the 9th month, and"
Ritual160,Pilgrimage to Mecca,Synchronous Praying,1,0,Coder1 Only,"We have now reached the fifth and last pillar of Islam, the pilgrimage, in the 12th lunar month. The Coran says in Sure 3, verse 97, that “pilgrimage to the House is a duty unto Allah for mankind, for"
Ritual2,Ceremony of the Tongues,Synchronous Praying,1,0,Coder1 Only,"Ceremony of the Tongues.

While it is obvious from the preceding, that the medicine woman takes her vow at no fixed period in the year, the order of procedure is such that as a rule, she must have tak"
Ritual226,Naming Ceremony,Synchronous Praying,1,0,Coder1 Only,"The Naming

Early in the morning of the eighth day the formal naming ceremony is performed. As they do for all public gatherings, men and women go separately; the women, in groups formed into single f"
Ritual227,Death Ceremony,Synchronous Praying,1,0,Coder1 Only,"The ceremony itself is quite simple. The body is washed, wrapped in a white cloth and placed on a bier, and then taken out to the burial grounds by the men. Prayers are said continually and the family"
Ritual228,"Ngumri Ashembe, End of Ramadan",Synchronous Praying,1,0,Coder1 Only,"As the sun set on Tuesday, April 30th, everyone looked closely for the new moon which would mark the beginning of the new month and the end of the fast. The sky was slightly cloudy and the silver of t"
Ritual229,Ngumri Laya (or Salla Laya),Synchronous Praying,1,0,Coder1 Only,"Another extremely important yearly festival is called Ngum[unknown]ri Laya or Salla Laya. This is the festival at which sacrifice of a ram is made, corresponding to the Hebrew festival of Pesach and t"
Ritual230,Wedding,Synchronous Praying,1,0,Coder1 Only,"The girl is represented by her luwali in arranging a marriage. The luwali may be a relative or friend of the girl, but not her father (except in the case of a sadaka marriage noted above). The luwali "
Ritual237,Young Corn Plant Ritual,Synchronous Praying,1,0,Coder1 Only,"Young Corn Plant Ritual

The seed from the sacred ears of corn kept in the bundles was planted in particular mounds. The growth of this corn was carefully watched; and when the stalks reached a height"
Ritual256a,The Day of the Red Dance,Synchronous Praying,1,0,Coder1 Only,"The 'E-Unoto' Ceremony of the Masai

The cycle of ceremonies connected with the forming of a Masai age set starts with that known as eimpolosata , performed by the members of the age set immediately s"
Ritual257,"The Day of the White Dance, Part 1",Synchronous Praying,1,0,Coder1 Only,"The second day of e-unoto is called ‘The Day of the White Dance.’ Soon after sunrise the muran went off into the bush to paint their bodies with diatomite. This white, chalklike substance is brought o"
Ritual258,"The Day of the White Dance, Part 2",Synchronous Praying,1,0,Coder1 Only,"Once painted, the young men formed into two columns, some so yards apart, and marched to the village. Many wore ostrich headdresses and some the lion-mane caps. Around their necks and waists they wore"
Ritual259a,The Day of the Sacred Hut,Synchronous Praying,1,0,Coder1 Only,"The third day is called ‘The Day of the Sacred Hut.’ During the morning a heifer, a gift to the Ol-Otuno from his father, is driven into the bush and slaughtered. This animal, called ‘The Cow of the R"
Ritual284,Nongkrem Puja,Synchronous Praying,1,0,Coder1 Only,-
Ritual285,The Rooster Sacrifice,Synchronous Praying,1,0,Coder1 Only,-
Ritual288,Disposal of the Dead,Synchronous Praying,0,1,Coder2 Only,"The collection of the uncalcined bones and ashes of the deceased members of the clan and their bestowal in the mawbah , or great cinerarium of the clan, is without doubt the most important religious c"
Ritual330,The Rice Harvest,Synchronous Praying,1,0,Coder1 Only,"The Rie Harvest

When the rice ripens and is nearly ready to harvest, the introductory rites of matah padi take place. The tuai burong and family heads sit on a mat ( tikai ) at a point on the farm tr"
Ritual34,Slava ceremony,Synchronous Praying,1,0,Coder1 Only,"The Slava

THE Slava is exclusively a Serbian custom. It is not found even among the Croats and Bulgars. There is a proverb which runs, “Where there is Slava, there is the Serb” (Gde je slava, tu je S"
Ritual370,Mitewie Ceremony,Synchronous Praying,1,0,Coder1 Only,"The Mitewie Ceremony

The Mitewie is a mysterious ceremony, rather of the nature of our Free Masonry, but with this remarkable difference that both sexes are equally admitted as members. Those who put"
Ritual441,Good Friday Mass,Synchronous Praying,0,1,Coder2 Only,"Veliki Petak and Uskrs (Good Friday and Easter)

Traditionally on Good Friday there is a Mass in the evening at 7:30, followed by a processional through the village. People place candles or lights in "
Ritual442,Resurrection of Christ Celebration,Synchronous Praying,0,1,Coder2 Only,The Resurrection of Christ is celebrated with a 10 P.M. to midnight Mass on Velika Subota--Great Saturday. The church is completely darkened and a fire burns outside the church as an altar boy gathers
Ritual443,Funeral Procession,Synchronous Praying,0,1,Coder2 Only,"All Saints' Day and Funerals

The church, as one of the mechanisms of solidarity through its religious holidays, also performs the function of bringing the community together at the time of the death "
Ritual463,"Wake, Funeral, and Burial for a Santa Fe Man",Synchronous Praying,1,0,Coder1 Only,"Wake, Funeral, and Burial for a Santa Fe Man: This was a somber, formal affair in all respects. Death occurred at 1:30 a.m. in the Trujillo hospital, after which the body of the deceased was transferr"
Ritual487,Rites of Kekesi,Synchronous Praying,1,0,Coder1 Only,"2. THE KEKESI RITES.—Closely following the commencement of the Food Worship on the lower Mamba, a curious movement was introduced to the people of the village Manau, on the coast near the mouth of the"
Ritual51,Funeral and Burial,Synchronous Praying,1,0,Coder1 Only,"Funeral and Burial

A person whose death occurs on a Thursday or Friday is considered fortunate, for it is usual in such cases to hold the funeral and burial on Sunday morning after the High Mass, for"
Ritual555,"Feast, Mortuary Rite",Synchronous Praying,1,0,Coder1 Only,"On that day the heir is formally installed, and there is a feast. The feast is called ‘the emerging from death’. A goat or fowl from the dead man's estate may be slaughtered for it, and neighbours and"
Ritual578,The Rain Ceremony,Synchronous Praying,1,0,Coder1 Only,"The Rain Ceremony

Ritual finds its most elaborate expression in the ceremony known as cħa-chaac (“bring-rain”). The reasons why this is so have already been indicated (p. 123). The cħa-chaac is not t"
Ritual582,Prayers for the Dead,Synchronous Praying,1,0,Coder1 Only,"Prayers for the Dead

The description given earlier in this chapter of the general social functions of the novena has included also the rezos commemorative of the dead, because in respect to these cha"
Ritual6,Raising Sun Pole,Synchronous Praying,1,0,Coder1 Only,"Raising the Sun Pole.

While the hide is being cut, all the woman who made vows to take some of the tongues come forward to the parfleche placed near the medicinemen and women. Each woman takes one of"
Ritual609,Prayer Meeting,Synchronous Praying,1,0,Coder1 Only,"Each week members of Seminole Baptist churches gather for a Mekusvpkv Nere (“Prayer Night”), or as it is glossed in English, Prayer Meeting. Some of the congregations have Prayer Meetings on Friday ev"
Ritual612,The Fasting Service,Synchronous Praying,1,0,Coder1 Only,"Big Meetings

The third primary social occasion is the Big Meeting. These gatherings are referred to by various names: Tokvlketv rakkat (“big gathering”); Uehomecate esketv (“to drink red whiskey or w"
Ritual613,Communion Service,Synchronous Praying,1,0,Coder1 Only,"Big Meetings

The third primary social occasion is the Big Meeting. These gatherings are referred to by various names: Tokvlketv rakkat (“big gathering”); Uehomecate esketv (“to drink red whiskey or w"
Ritual618,Processions,Synchronous Praying,1,0,Coder1 Only,"Processions

The word “processions” is not used here in the sense of pilgrimages to a welî, as already described above, but only □wâf performed in 8or around a holy place and only on special occasions"
Ritual77,Mesa Loqaña (Generaly Propitiatory Rite),Synchronous Praying,1,0,Coder1 Only,"Generaly Propitiatory Rite, Mesa Loqaña, ""To Offer a Mesa""

Although the antiquity of this ceremony in its present form is uncertain, it seems quite clear that the great majority of the offerings as w"
Ritual9,Making of a Brave,Synchronous Praying,1,0,Coder1 Only,"One ancient custom, the “making of a brave,” has been so misinterpreted and criticized that I feel it my duty to explain it more fully here.

In case of the severe illness of a close relative, an Indi"
Ritual92,Fiesta for the Patron Saint,Synchronous Praying,1,0,Coder1 Only,"Fiesta for the Patron Saint

One of the major events in the religious life of the Indians is the annual fiesta in honor of the patron saint and the other saints kept in the church. The capitán princip"
Ritual93,Talking Saints,Synchronous Praying,1,0,Coder1 Only,"Talking Saints

Another religious form where Indian tradition is manifested through Christian formulae is the veneration of the talking saints, a widespread cult among the Tzeltal and Tzotzil. These s"
Ritual124,Merit-Making / Funeral Rituals (kong-tik),Synchronous Singing,1,0,Coder1 Only,"Fat Thuan is Buried

Ong Thuan had once been the fattest man and the best drinker in Ploughshare, but he developed diabetes in his late forties, becoming too debilitated to do any work. Hence it was n"
Ritual13,Public Worship and Sermon,Synchronous Singing,1,0,Coder1 Only,"Ceremonies.

All of the ceremonies, public and private, of the cult [ER: Chuntokyo] and most of its doctrines centre around that twenty-one character magic Formula which Choi Chei Oo received and made"
